DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,Well
6509.0,0.279,12.53,0.075,97.0,35.61,1.0,1.7,2.369,0.978,0.075,68.46,35.61,2.369,Project_well_logs/TMG-1-logs
6510.0,0.283,12.69,0.041,86.9,36.04,1.0,1.82,2.418,0.988286,0.041,69.18,36.04,2.418,Project_well_logs/TMG-1-logs
6511.0,0.283,12.79,0.042,87.1,36.7,1.0,1.88,2.417,0.988286,0.042,69.18,36.7,2.417,Project_well_logs/TMG-1-logs
6512.0,0.275,12.83,0.058,6.5,37.28,1.0,1.84,2.394,0.980857,0.058,68.66,37.28,2.394,Project_well_logs/TMG-1-logs
6513.0,0.272,12.81,0.069,12.4,38.05,1.0,1.69,2.39,0.956857,0.069,66.98,38.05,2.39,Project_well_logs/TMG-1-logs
6514.0,0.269,12.92,0.073,19.6,38.54,1.0,1.61,2.391,0.941857,0.073,65.93,38.54,2.391,Project_well_logs/TMG-1-logs
6515.0,0.266,13.11,0.059,27.7,38.64,1.0,1.67,2.423,0.923857,0.059,64.67,38.64,2.423,Project_well_logs/TMG-1-logs
6516.0,0.265,12.78,0.044,29.1,38.3,1.0,1.74,2.452,0.916714,0.044,64.17,38.3,2.452,Project_well_logs/TMG-1-logs
6517.0,0.268,12.58,0.055,22.1,37.57,1.0,1.85,2.425,0.933286,0.055,65.33,37.57,2.425,Project_well_logs/TMG-1-logs
6518.0,0.28,12.57,0.057,94.0,36.58,1.0,1.82,2.399,0.976,0.057,68.32,36.58,2.399,Project_well_logs/TMG-1-logs
6519.0,0.296,12.64,0.069,57.1,35.7,1.0,1.68,2.362,1.0,0.069,70.25,35.7,2.362,Project_well_logs/TMG-1-logs
6520.0,0.296,13.16,0.069,58.8,34.48,1.0,1.56,2.356,1.0,0.069,70.93,34.48,2.356,Project_well_logs/TMG-1-logs
6521.0,0.29,13.49,0.074,70.8,33.67,1.0,1.48,2.358,0.996857,0.074,69.78,33.67,2.358,Project_well_logs/TMG-1-logs
6522.0,0.284,13.26,0.077,84.0,33.07,1.0,1.46,2.357,0.991857,0.077,69.43,33.07,2.357,Project_well_logs/TMG-1-logs
6523.0,0.278,12.68,0.068,98.9,33.47,1.0,1.46,2.362,1.0,0.068,70.53,33.47,2.362,Project_well_logs/TMG-1-logs
6524.0,0.271,12.65,0.076,15.7,34.75,1.0,1.51,2.35,1.0,0.076,70.38,34.75,2.35,Project_well_logs/TMG-1-logs
6525.0,0.274,12.45,0.079,8.0,35.75,1.0,1.58,2.353,0.993143,0.079,69.52,35.75,2.353,Project_well_logs/TMG-1-logs
6526.0,0.283,12.81,0.065,86.1,36.54,1.0,1.65,2.368,1.0,0.065,70.4,36.54,2.368,Project_well_logs/TMG-1-logs
6527.0,0.286,12.78,0.085,81.3,36.43,1.0,1.65,2.342,0.994429,0.085,69.61,36.43,2.342,Project_well_logs/TMG-1-logs
6528.0,0.284,12.85,0.11,84.3,34.87,1.0,1.56,2.323,0.955143,0.11,66.86,34.87,2.323,Project_well_logs/TMG-1-logs
6529.0,0.277,12.69,0.129,1.3,34.44,1.0,1.52,2.315,0.910571,0.129,63.74,34.44,2.315,Project_well_logs/TMG-1-logs
6530.0,0.272,13.02,0.084,13.8,35.01,1.0,1.51,2.379,0.931857,0.084,65.23,35.01,2.379,Project_well_logs/TMG-1-logs
6531.0,0.265,12.85,0.113,29.7,37.81,1.0,1.51,2.335,0.921571,0.113,64.51,37.81,2.335,Project_well_logs/TMG-1-logs
6532.0,0.254,12.49,0.134,56.6,39.15,1.0,1.51,2.357,0.775857,0.134,54.31,39.15,2.357,Project_well_logs/TMG-1-logs
6533.0,0.255,13.13,0.126,54.7,38.66,1.0,1.7,2.408,0.625143,0.126,43.76,38.66,2.408,Project_well_logs/TMG-1-logs
