DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,WELL
8812.0,0.293,0.0,0.566,65.0,54.2,1.0,1.8,0.0,0.928823,0.566,78.95,54.2,0.0,TMG-1-logs.las
8813.0,0.296,0.0,0.575,58.3,53.9,1.0,1.9,0.0,0.918118,0.575,78.04,53.9,0.0,TMG-1-logs.las
8814.0,0.301,0.0,0.573,46.3,53.78,1.0,1.86,0.0,0.922,0.573,78.37,53.78,0.0,TMG-1-logs.las
8815.0,0.298,0.0,0.556,54.0,53.78,1.0,1.78,0.0,0.951412,0.556,80.87,53.78,0.0,TMG-1-logs.las
8816.0,0.297,0.0,0.556,56.5,53.86,1.0,1.68,0.0,0.956,0.556,81.26,53.86,0.0,TMG-1-logs.las
8817.0,0.3,0.0,0.568,48.8,53.96,1.0,1.62,0.0,0.928588,0.568,78.93,53.96,0.0,TMG-1-logs.las
8818.0,0.305,0.0,0.6,38.9,54.09,1.0,1.57,0.0,0.887412,0.6,75.43,54.09,0.0,TMG-1-logs.las
8819.0,0.308,0.0,0.607,31.6,54.2,1.0,1.57,0.0,0.877529,0.607,74.59,54.2,0.0,TMG-1-logs.las
8820.0,0.312,0.0,0.579,25.1,54.17,1.0,1.6,0.0,0.917765,0.579,78.01,54.17,0.0,TMG-1-logs.las
8821.0,0.312,0.0,0.559,23.3,54.21,1.0,1.7,0.0,0.954235,0.559,81.11,54.21,0.0,TMG-1-logs.las
8822.0,0.31,0.0,0.558,28.6,54.22,1.0,1.87,0.0,0.966235,0.558,82.13,54.22,0.0,TMG-1-logs.las
8823.0,0.306,0.0,0.558,36.0,54.22,1.0,1.97,0.0,0.959294,0.558,81.54,54.22,0.0,TMG-1-logs.las
8824.0,0.303,0.0,0.557,43.4,54.18,1.0,1.96,0.0,0.948471,0.557,80.62,54.18,0.0,TMG-1-logs.las
8825.0,0.299,0.0,0.556,51.1,54.14,1.0,1.9,0.0,0.948941,0.556,80.66,54.14,0.0,TMG-1-logs.las
8826.0,0.295,0.0,0.555,59.5,54.06,1.0,1.81,0.0,0.959176,0.555,81.53,54.06,0.0,TMG-1-logs.las
8827.0,0.292,0.0,0.555,67.3,54.02,1.0,1.72,0.0,0.969176,0.555,82.38,54.02,0.0,TMG-1-logs.las
8828.0,0.288,0.0,0.554,74.9,53.97,1.0,1.67,0.0,0.968941,0.554,82.36,53.97,0.0,TMG-1-logs.las
